,1 precision,1 recall,1 F1,2 precision,2 recall,2 F1,3 precision,3 recall,3 F1
Writer0101,0.626,0.739,0.339,0.537,0.493,0.257,0.765,0.811,0.394
Writer0202,0.454,0.36,0.201,0.216,0.114,0.075,0.38,0.543,0.224
Writer0303,0.254,0.286,0.135,0.15,0.073,0.049,0.407,0.464,0.217
Writer0404,0.336,0.237,0.139,0.079,0.303,0.063,0.378,0.402,0.195
Writer0505,0.303,0.13,0.091,0.123,0.079,0.048,0.433,0.358,0.196
Writer0606,0.222,0.09,0.064,0.09,0.053,0.033,0.366,0.178,0.12
Writer0707,0.188,0.147,0.083,0.07,0.065,0.034,0.374,0.228,0.142
Writer0808,0.321,0.166,0.109,0.128,0.148,0.068,0.554,0.361,0.219
Writer0909,0.26,0.293,0.138,0.109,0.173,0.067,0.396,0.344,0.184
Writer1010,0.302,0.159,0.104,0.122,0.13,0.063,0.398,0.263,0.159
Writer1111,0.705,0.793,0.373,0.293,0.498,0.185,0.765,0.751,0.379
Writer1212,0.185,0.171,0.089,0.193,0.026,0.023,0.372,0.216,0.137
Writer1313,0.159,0.082,0.054,0.066,0.022,0.016,0.334,0.27,0.149
Writer1414,0.322,0.237,0.136,0.111,0.32,0.082,0.345,0.467,0.198
Writer1515,0.528,0.288,0.186,0.262,0.311,0.142,0.606,0.431,0.252
Writer1616,0.023,0.008,0.006,0.06,0.019,0.014,0.186,0.218,0.1
Writer1717,0.327,0.205,0.126,0.279,0.071,0.057,0.374,0.494,0.213
Writer1818,0.309,0.33,0.159,0.206,0.132,0.08,0.429,0.303,0.178
Writer1919,0.093,0.324,0.073,0.076,0.116,0.046,0.328,0.446,0.189
Writer2020,0.197,0.177,0.093,0.12,0.085,0.05,0.375,0.437,0.202
Writer2121,0.333,0.181,0.117,0.156,0.175,0.083,0.344,0.187,0.121
Writer2222,0.259,0.413,0.159,0.104,0.164,0.064,0.596,0.396,0.238
Writer2323,0.328,0.151,0.103,0.142,0.139,0.07,0.366,0.318,0.17
